"origin_poi_id","dest_poi_id","period_label","period_hour","time_offset_sec","timestamp","origin_poi_name","dest_poi_name","flow_users"
"POI_1","POI_1","offpeak",11,0,"2025-01-01 11:00:00","Colosseo_Monument","Colosseo_Monument",8
"POI_4","POI_1","offpeak",11,0,"2025-01-01 11:00:00","Arco_di_Costantino","Colosseo_Monument",1
"POI_6","POI_1","offpeak",11,0,"2025-01-01 11:00:00","Ludus_Magnus_NE","Colosseo_Monument",1
"POI_2","POI_2","offpeak",11,0,"2025-01-01 11:00:00","Colosseo_Metro","Colosseo_Metro",7
"POI_3","POI_2","offpeak",11,0,"2025-01-01 11:00:00","Fori_Imperiali_Access","Colosseo_Metro",1
"POI_5","POI_2","offpeak",11,0,"2025-01-01 11:00:00","Via_Labicana_East","Colosseo_Metro",1
"POI_3","POI_3","offpeak",11,0,"2025-01-01 11:00:00","Fori_Imperiali_Access","Fori_Imperiali_Access",8
"POI_4","POI_4","offpeak",11,0,"2025-01-01 11:00:00","Arco_di_Costantino","Arco_di_Costantino",12
"POI_5","POI_5","offpeak",11,0,"2025-01-01 11:00:00","Via_Labicana_East","Via_Labicana_East",11
"POI_6","POI_6","offpeak",11,0,"2025-01-01 11:00:00","Ludus_Magnus_NE","Ludus_Magnus_NE",7
"POI_7","POI_7","offpeak",11,0,"2025-01-01 11:00:00","Parco_Oppio_North","Parco_Oppio_North",4
"POI_11","POI_7","offpeak",11,0,"2025-01-01 11:00:00","Fori_NW_Corridor","Parco_Oppio_North",1
"POI_1","POI_8","offpeak",11,0,"2025-01-01 11:00:00","Colosseo_Monument","Basilica_Massenzio_West",1
"POI_5","POI_8","offpeak",11,0,"2025-01-01 11:00:00","Via_Labicana_East","Basilica_Massenzio_West",1
"POI_8","POI_8","offpeak",11,0,"2025-01-01 11:00:00","Basilica_Massenzio_West","Basilica_Massenzio_West",10
"POI_7","POI_9","offpeak",11,0,"2025-01-01 11:00:00","Parco_Oppio_North","Via_San_Gregorio_South",1
"POI_9","POI_9","offpeak",11,0,"2025-01-01 11:00:00","Via_San_Gregorio_South","Via_San_Gregorio_South",8
"POI_5","POI_10","offpeak",11,0,"2025-01-01 11:00:00","Via_Labicana_East","Celio_Vibenna_SW",1
"POI_6","POI_10","offpeak",11,0,"2025-01-01 11:00:00","Ludus_Magnus_NE","Celio_Vibenna_SW",1
"POI_10","POI_10","offpeak",11,0,"2025-01-01 11:00:00","Celio_Vibenna_SW","Celio_Vibenna_SW",8
"POI_7","POI_11","offpeak",11,0,"2025-01-01 11:00:00","Parco_Oppio_North","Fori_NW_Corridor",1
"POI_10","POI_11","offpeak",11,0,"2025-01-01 11:00:00","Celio_Vibenna_SW","Fori_NW_Corridor",1
"POI_11","POI_11","offpeak",11,0,"2025-01-01 11:00:00","Fori_NW_Corridor","Fori_NW_Corridor",5
"POI_1","POI_1","offpeak",11,1,"2025-01-01 11:00:01","Colosseo_Monument","Colosseo_Monument",8
"POI_1","POI_2","offpeak",11,1,"2025-01-01 11:00:01","Colosseo_Monument","Colosseo_Metro",1
"POI_2","POI_2","offpeak",11,1,"2025-01-01 11:00:01","Colosseo_Metro","Colosseo_Metro",9
"POI_4","POI_2","offpeak",11,1,"2025-01-01 11:00:01","Arco_di_Costantino","Colosseo_Metro",1
"POI_10","POI_2","offpeak",11,1,"2025-01-01 11:00:01","Celio_Vibenna_SW","Colosseo_Metro",1
"POI_3","POI_3","offpeak",11,1,"2025-01-01 11:00:01","Fori_Imperiali_Access","Fori_Imperiali_Access",8
"POI_4","POI_4","offpeak",11,1,"2025-01-01 11:00:01","Arco_di_Costantino","Arco_di_Costantino",11
"POI_6","POI_4","offpeak",11,1,"2025-01-01 11:00:01","Ludus_Magnus_NE","Arco_di_Costantino",1
"POI_5","POI_5","offpeak",11,1,"2025-01-01 11:00:01","Via_Labicana_East","Via_Labicana_East",11
"POI_6","POI_6","offpeak",11,1,"2025-01-01 11:00:01","Ludus_Magnus_NE","Ludus_Magnus_NE",6
"POI_7","POI_7","offpeak",11,1,"2025-01-01 11:00:01","Parco_Oppio_North","Parco_Oppio_North",5
"POI_8","POI_8","offpeak",11,1,"2025-01-01 11:00:01","Basilica_Massenzio_West","Basilica_Massenzio_West",12
"POI_9","POI_9","offpeak",11,1,"2025-01-01 11:00:01","Via_San_Gregorio_South","Via_San_Gregorio_South",8
"POI_1","POI_10","offpeak",11,1,"2025-01-01 11:00:01","Colosseo_Monument","Celio_Vibenna_SW",1
"POI_10","POI_10","offpeak",11,1,"2025-01-01 11:00:01","Celio_Vibenna_SW","Celio_Vibenna_SW",9
"POI_9","POI_11","offpeak",11,1,"2025-01-01 11:00:01","Via_San_Gregorio_South","Fori_NW_Corridor",1
"POI_11","POI_11","offpeak",11,1,"2025-01-01 11:00:01","Fori_NW_Corridor","Fori_NW_Corridor",7
"POI_1","POI_1","offpeak",11,2,"2025-01-01 11:00:02","Colosseo_Monument","Colosseo_Monument",8
"POI_2","POI_2","offpeak",11,2,"2025-01-01 11:00:02","Colosseo_Metro","Colosseo_Metro",11
"POI_3","POI_3","offpeak",11,2,"2025-01-01 11:00:02","Fori_Imperiali_Access","Fori_Imperiali_Access",7
"POI_2","POI_4","offpeak",11,2,"2025-01-01 11:00:02","Colosseo_Metro","Arco_di_Costantino",1
"POI_4","POI_4","offpeak",11,2,"2025-01-01 11:00:02","Arco_di_Costantino","Arco_di_Costantino",12
"POI_6","POI_4","offpeak",11,2,"2025-01-01 11:00:02","Ludus_Magnus_NE","Arco_di_Costantino",1
