"origin_poi_id","dest_poi_id","period_label","period_hour","time_offset_sec","timestamp","origin_poi_name","dest_poi_name","flow_users"
"POI_1","POI_1","peak",16,0,"2025-01-01 16:00:00","Colosseo_Monument","Colosseo_Monument",7
"POI_8","POI_1","peak",16,0,"2025-01-01 16:00:00","Basilica_Massenzio_West","Colosseo_Monument",1
"POI_1","POI_2","peak",16,0,"2025-01-01 16:00:00","Colosseo_Monument","Colosseo_Metro",1
"POI_2","POI_2","peak",16,0,"2025-01-01 16:00:00","Colosseo_Metro","Colosseo_Metro",2
"POI_6","POI_2","peak",16,0,"2025-01-01 16:00:00","Ludus_Magnus_NE","Colosseo_Metro",1
"POI_7","POI_2","peak",16,0,"2025-01-01 16:00:00","Parco_Oppio_North","Colosseo_Metro",1
"POI_3","POI_3","peak",16,0,"2025-01-01 16:00:00","Fori_Imperiali_Access","Fori_Imperiali_Access",6
"POI_6","POI_3","peak",16,0,"2025-01-01 16:00:00","Ludus_Magnus_NE","Fori_Imperiali_Access",1
"POI_7","POI_3","peak",16,0,"2025-01-01 16:00:00","Parco_Oppio_North","Fori_Imperiali_Access",1
"POI_4","POI_4","peak",16,0,"2025-01-01 16:00:00","Arco_di_Costantino","Arco_di_Costantino",7
"POI_1","POI_5","peak",16,0,"2025-01-01 16:00:00","Colosseo_Monument","Via_Labicana_East",1
"POI_2","POI_5","peak",16,0,"2025-01-01 16:00:00","Colosseo_Metro","Via_Labicana_East",1
"POI_3","POI_5","peak",16,0,"2025-01-01 16:00:00","Fori_Imperiali_Access","Via_Labicana_East",1
"POI_5","POI_5","peak",16,0,"2025-01-01 16:00:00","Via_Labicana_East","Via_Labicana_East",9
"POI_10","POI_5","peak",16,0,"2025-01-01 16:00:00","Celio_Vibenna_SW","Via_Labicana_East",1
"POI_6","POI_6","peak",16,0,"2025-01-01 16:00:00","Ludus_Magnus_NE","Ludus_Magnus_NE",10
"POI_7","POI_7","peak",16,0,"2025-01-01 16:00:00","Parco_Oppio_North","Parco_Oppio_North",7
"POI_2","POI_8","peak",16,0,"2025-01-01 16:00:00","Colosseo_Metro","Basilica_Massenzio_West",1
"POI_7","POI_8","peak",16,0,"2025-01-01 16:00:00","Parco_Oppio_North","Basilica_Massenzio_West",1
"POI_8","POI_8","peak",16,0,"2025-01-01 16:00:00","Basilica_Massenzio_West","Basilica_Massenzio_West",6
"POI_9","POI_9","peak",16,0,"2025-01-01 16:00:00","Via_San_Gregorio_South","Via_San_Gregorio_South",14
"POI_10","POI_9","peak",16,0,"2025-01-01 16:00:00","Celio_Vibenna_SW","Via_San_Gregorio_South",1
"POI_5","POI_10","peak",16,0,"2025-01-01 16:00:00","Via_Labicana_East","Celio_Vibenna_SW",1
"POI_10","POI_10","peak",16,0,"2025-01-01 16:00:00","Celio_Vibenna_SW","Celio_Vibenna_SW",12
"POI_1","POI_11","peak",16,0,"2025-01-01 16:00:00","Colosseo_Monument","Fori_NW_Corridor",1
"POI_11","POI_11","peak",16,0,"2025-01-01 16:00:00","Fori_NW_Corridor","Fori_NW_Corridor",5
"POI_1","POI_1","peak",16,1,"2025-01-01 16:00:01","Colosseo_Monument","Colosseo_Monument",6
"POI_8","POI_1","peak",16,1,"2025-01-01 16:00:01","Basilica_Massenzio_West","Colosseo_Monument",1
"POI_2","POI_2","peak",16,1,"2025-01-01 16:00:01","Colosseo_Metro","Colosseo_Metro",4
"POI_6","POI_2","peak",16,1,"2025-01-01 16:00:01","Ludus_Magnus_NE","Colosseo_Metro",1
"POI_10","POI_2","peak",16,1,"2025-01-01 16:00:01","Celio_Vibenna_SW","Colosseo_Metro",1
"POI_3","POI_3","peak",16,1,"2025-01-01 16:00:01","Fori_Imperiali_Access","Fori_Imperiali_Access",6
"POI_5","POI_3","peak",16,1,"2025-01-01 16:00:01","Via_Labicana_East","Fori_Imperiali_Access",1
"POI_11","POI_3","peak",16,1,"2025-01-01 16:00:01","Fori_NW_Corridor","Fori_Imperiali_Access",1
"POI_2","POI_4","peak",16,1,"2025-01-01 16:00:01","Colosseo_Metro","Arco_di_Costantino",1
"POI_4","POI_4","peak",16,1,"2025-01-01 16:00:01","Arco_di_Costantino","Arco_di_Costantino",6
"POI_3","POI_5","peak",16,1,"2025-01-01 16:00:01","Fori_Imperiali_Access","Via_Labicana_East",1
"POI_5","POI_5","peak",16,1,"2025-01-01 16:00:01","Via_Labicana_East","Via_Labicana_East",9
"POI_7","POI_5","peak",16,1,"2025-01-01 16:00:01","Parco_Oppio_North","Via_Labicana_East",1
"POI_10","POI_5","peak",16,1,"2025-01-01 16:00:01","Celio_Vibenna_SW","Via_Labicana_East",1
"POI_1","POI_6","peak",16,1,"2025-01-01 16:00:01","Colosseo_Monument","Ludus_Magnus_NE",1
"POI_6","POI_6","peak",16,1,"2025-01-01 16:00:01","Ludus_Magnus_NE","Ludus_Magnus_NE",9
"POI_9","POI_6","peak",16,1,"2025-01-01 16:00:01","Via_San_Gregorio_South","Ludus_Magnus_NE",1
"POI_7","POI_7","peak",16,1,"2025-01-01 16:00:01","Parco_Oppio_North","Parco_Oppio_North",6
"POI_5","POI_8","peak",16,1,"2025-01-01 16:00:01","Via_Labicana_East","Basilica_Massenzio_West",1
