"period_label","period_hour","time_offset_sec","serving_bs_id","users","mean_move_distance_m","mean_dist_to_serving_bs_m"
"peak",16,0,"BS_1",12,1.35008703097134,51.4323498482107
"peak",16,0,"BS_10",9,0.870149661454041,67.9025098235811
"peak",16,0,"BS_11",12,1.05007822261002,51.1580346013961
"peak",16,0,"BS_2",10,1.20303974078477,48.8344717731748
"peak",16,0,"BS_3",5,1.0276342988104,42.7890845924411
"peak",16,0,"BS_4",12,1.13861752017944,55.8577088581651
"peak",16,0,"BS_5",11,1.13567803563479,58.0858247524955
"peak",16,0,"BS_6",13,1.0215182350184,48.6158086917851
"peak",16,0,"BS_7",5,1.28382020017052,46.5485253875563
"peak",16,0,"BS_8",4,1.24280296442774,56.3837448902231
"peak",16,0,"BS_9",7,1.34229764348071,72.3729943977539
"peak",16,1,"BS_1",12,1.1841254714388,51.5061788341315
"peak",16,1,"BS_10",9,1.17643638143564,67.7508172356131
"peak",16,1,"BS_11",12,1.30755576730329,50.950258869104
"peak",16,1,"BS_2",10,1.40410411840222,49.0123674264311
"peak",16,1,"BS_3",5,1.09624774271488,42.1073628695321
"peak",16,1,"BS_4",11,1.27997233032429,54.289258737595
"peak",16,1,"BS_5",11,1.31091456866097,58.8340039202666
"peak",16,1,"BS_6",14,1.20203461809742,50.277684485701
"peak",16,1,"BS_7",5,0.991574697188353,46.7442477441882
"peak",16,1,"BS_8",4,1.2945912701076,55.4714955955468
"peak",16,1,"BS_9",7,1.25440831660981,71.8459506210954
"peak",16,2,"BS_1",12,1.34980945267655,51.3972463423705
"peak",16,2,"BS_10",9,1.17577971039496,67.3367561302262
"peak",16,2,"BS_11",12,1.14923906015809,51.2620737745507
"peak",16,2,"BS_2",10,1.22624311598066,49.7269723867585
"peak",16,2,"BS_3",5,1.26697873992651,42.0192083637813
"peak",16,2,"BS_4",11,1.08600431066476,54.2442776827006
"peak",16,2,"BS_5",11,1.40984852031046,58.6609709003591
"peak",16,2,"BS_6",14,0.970080245741309,50.3497520121492
"peak",16,2,"BS_7",5,1.12093544391761,47.081877206487
"peak",16,2,"BS_8",4,0.880064820813749,55.3838727997907
"peak",16,2,"BS_9",7,1.10598423576698,71.4570344361841
"peak",16,3,"BS_1",12,1.22333368060141,52.034302966125
"peak",16,3,"BS_10",9,1.63100647001519,67.3983637198849
"peak",16,3,"BS_11",12,1.18047827516683,51.4652134849419
"peak",16,3,"BS_2",10,1.3246891394936,49.2121828518697
"peak",16,3,"BS_3",5,1.42110110602366,42.1078629296142
"peak",16,3,"BS_4",11,1.27991359854701,54.6446600433936
"peak",16,3,"BS_5",11,1.29953130004117,58.4622925668
"peak",16,3,"BS_6",14,1.17526406808577,50.1742775417586
"peak",16,3,"BS_7",5,0.667286355131544,47.3341044097216
"peak",16,3,"BS_8",4,1.69996943063637,55.6919603695545
"peak",16,3,"BS_9",7,1.63248226268474,71.1702545390412
"peak",16,4,"BS_1",12,1.31841137425658,52.4319996133256
"peak",16,4,"BS_10",9,1.28542484367603,67.3829040583467
"peak",16,4,"BS_11",12,1.11953899723428,51.9376414625659
"peak",16,4,"BS_2",10,1.46494282589697,49.144574586392
"peak",16,4,"BS_3",5,1.35645502348412,42.363852686266
"peak",16,4,"BS_4",11,1.30064713227986,54.2033995887072
"peak",16,4,"BS_5",11,1.19123444726285,57.9842050787683
"peak",16,4,"BS_6",14,1.38892616316053,50.3018101957805
"peak",16,4,"BS_7",5,1.08561929510387,47.3314300814504
"peak",16,4,"BS_8",4,1.32516002899752,55.3764860929901
"peak",16,4,"BS_9",7,1.30055726304284,71.4140637938143
"peak",16,5,"BS_1",12,1.13312717902025,52.7650681475115
"peak",16,5,"BS_10",9,0.841085016509152,67.2833014058167
"peak",16,5,"BS_11",12,1.18627531143349,51.8668976299886
"peak",16,5,"BS_2",10,1.30467287070909,49.1488345884648
"peak",16,5,"BS_3",5,1.11105449420634,42.2138240563361
"peak",16,5,"BS_4",11,1.60508683100684,53.6156372428562
"peak",16,5,"BS_5",11,1.3683052027859,58.0486532093671
"peak",16,5,"BS_6",14,1.52361401125755,49.98271633896
"peak",16,5,"BS_7",5,1.2845160716431,47.5087945248071
"peak",16,5,"BS_8",4,0.642950132376637,55.6424693951132
"peak",16,5,"BS_9",7,1.37067031290693,71.1183538952396
"peak",16,6,"BS_1",12,1.32168549232047,52.9476265412618
"peak",16,6,"BS_10",9,1.23057848797292,67.0346344956838
"peak",16,6,"BS_11",12,0.999624163115798,51.6612832510338
"peak",16,6,"BS_2",10,1.10237260000373,48.8682979061293
"peak",16,6,"BS_3",5,1.120629459681,42.4533310040028
"peak",16,6,"BS_4",11,1.28801312264545,53.9658151181314
"peak",16,6,"BS_5",11,0.883694986641679,58.2082003638684
"peak",16,6,"BS_6",14,1.24675963668034,50.4987460907804
"peak",16,6,"BS_7",5,1.11449076526787,47.6156080647571
"peak",16,6,"BS_8",4,1.46968505993234,55.825265637137
"peak",16,6,"BS_9",7,1.42388734930696,70.83311513899
"peak",16,7,"BS_1",12,1.19966022398829,53.1782337742544
"peak",16,7,"BS_10",9,0.967639526572485,67.0421769477825
"peak",16,7,"BS_11",12,1.00339246736508,51.7189458389049
"peak",16,7,"BS_2",10,1.20678452374653,49.4846092079412
"peak",16,7,"BS_3",5,1.51489983878491,42.9448912410589
"peak",16,7,"BS_4",11,1.35255471082852,53.5188186515916
"peak",16,7,"BS_5",11,1.123812460421,58.2063923670118
"peak",16,7,"BS_6",14,1.16479813967717,50.2139281208971
"peak",16,7,"BS_7",5,1.49563295631166,47.5774788373753
"peak",16,7,"BS_8",4,0.967171221655662,55.7085134499496
"peak",16,7,"BS_9",7,0.82624322249465,70.5799279634256
"peak",16,8,"BS_1",12,1.09935673750244,52.8453538001094
"peak",16,8,"BS_10",9,1.07594485384443,67.056488032904
"peak",16,8,"BS_11",12,1.21451889164283,51.9361781092472
"peak",16,8,"BS_2",10,1.20110851471506,49.4589582293932
"peak",16,8,"BS_3",5,0.962651192712134,43.0576481479659
"peak",16,8,"BS_4",11,1.08966679479663,53.7841842786059
"peak",16,8,"BS_5",11,1.03088843847738,58.3713050699019
"peak",16,8,"BS_6",14,1.34072235375353,49.8501863356871
"peak",16,8,"BS_7",5,1.31359355815734,47.4388946043869
"peak",16,8,"BS_8",4,1.55049695909552,56.7655152119179
"peak",16,8,"BS_9",7,1.41329560191061,70.5385796161402
"peak",16,9,"BS_1",12,1.30410206959843,53.0425936023692
"peak",16,9,"BS_10",9,0.955108940003673,67.2066567494719
"peak",16,9,"BS_11",12,1.35656856461021,52.0884862177609
"peak",16,9,"BS_2",10,1.05614453252131,49.4210264545219
"peak",16,9,"BS_3",5,1.32854632561042,43.112041245741
"peak",16,9,"BS_4",11,1.14597652856733,53.9878401202032
"peak",16,9,"BS_5",11,1.36481311993436,58.5202295326309
"peak",16,9,"BS_6",14,1.17869201090689,49.3250926171774
"peak",16,9,"BS_7",5,1.12995135842465,47.8998706304169
"peak",16,9,"BS_8",4,1.47470317656008,56.0016614356715
"peak",16,9,"BS_9",7,1.36771533400952,70.2190421578468
"peak",16,10,"BS_1",12,1.19106218739922,53.1095048465995
"peak",16,10,"BS_10",9,1.35927633919728,67.5743097854209
"peak",16,10,"BS_11",12,1.01535223196293,51.7400135225261
"peak",16,10,"BS_2",11,1.11823529062709,50.2693220743013
"peak",16,10,"BS_3",5,1.1414017633657,43.3651651359923
"peak",16,10,"BS_4",11,1.00754418858109,54.1785728221885
"peak",16,10,"BS_5",11,1.41693416889346,58.0790640076768
"peak",16,10,"BS_6",14,1.18800255779802,49.8372159505325
"peak",16,10,"BS_7",4,1.32785159411084,45.2690746917769
"peak",16,10,"BS_8",4,1.26186555226158,56.3874614994511
"peak",16,10,"BS_9",7,1.12485738774484,70.4611787933179
"peak",16,11,"BS_1",12,1.35169101479316,52.9328682005638
"peak",16,11,"BS_10",9,1.23327224133836,67.8682924885256
"peak",16,11,"BS_11",12,1.45373670506605,51.9878856240799
"peak",16,11,"BS_2",11,1.34175099797847,50.2337083652843
"peak",16,11,"BS_3",5,0.723155662627802,43.446577142932
"peak",16,11,"BS_4",11,1.10148494238971,53.7409072812519
"peak",16,11,"BS_5",11,1.19760200740446,58.2222462581869
"peak",16,11,"BS_6",14,1.10190996122772,49.7529413889145
"peak",16,11,"BS_7",4,1.26333947400282,45.2722661672765
"peak",16,11,"BS_8",4,1.36130219987568,56.5225396836961
"peak",16,11,"BS_9",7,0.998850263831924,70.6920649255135
"peak",16,12,"BS_1",12,1.62260784107285,53.5959543625899
"peak",16,12,"BS_10",9,1.36359620270516,67.942107649348
"peak",16,12,"BS_11",12,1.07298557654614,52.0247674661374
"peak",16,12,"BS_2",11,1.32534303789971,49.9909103463419
"peak",16,12,"BS_3",5,1.31198397435403,43.6708161627009
"peak",16,12,"BS_4",11,1.22778770362829,54.3620097747305
"peak",16,12,"BS_5",11,1.14878805290227,57.8850534818684
"peak",16,12,"BS_6",14,1.21682986446424,50.3171578766846
"peak",16,12,"BS_7",4,1.34266792921507,45.8410356017035
"peak",16,12,"BS_8",4,1.32434043916671,57.2829672472676
"peak",16,12,"BS_9",7,1.24988657118873,71.6017867076861
"peak",16,13,"BS_1",12,1.29137322935002,53.1656290010072
"peak",16,13,"BS_10",9,1.24958073517631,67.7116390485086
"peak",16,13,"BS_11",12,0.996701730991152,52.1812422721346
"peak",16,13,"BS_2",11,1.22044108626022,49.8866021726217
"peak",16,13,"BS_3",5,1.20076167326939,43.4275316224295
"peak",16,13,"BS_4",11,1.07804833340148,54.2543652798603
"peak",16,13,"BS_5",11,1.30544651389804,57.5213666011527
"peak",16,13,"BS_6",14,1.09839760196856,50.3660598586183
"peak",16,13,"BS_7",4,0.635718083855324,45.6935645097358
